  919   923   4.595351  44.022950   4.607550  44.027230  2.8875  0.4089  2.8768  0.3413  8.09 -9.00 12.75  5.96 121 555 1  0.0684   35.1  64.0 2 0
 1021  1022   4.904288 -28.162201   4.902500 -28.160263 -0.2626 -1.3477 -0.2626 -1.3477 14.45  4.21 13.97  3.35 566 566 5  0.0000    9.0 318.0 0 0
 1024  1041   4.925440 -11.233020   4.996840 -11.306160  0.2220 -0.0820  0.2338 -0.0922 17.74 -9.00 12.90  2.49 886 555 3  0.0156  364.5 136.3 3 0
 1036  1038   5.007560  42.729390   5.016080  42.729570  0.1765 -0.1757  0.1733 -0.1738 18.07  2.16 13.29  1.36 555 555 2  0.0037   22.5  88.4 2 0
 1043  1046   5.044790  44.718710   5.040790  44.716430  0.1584 -0.1043  0.1520 -0.1000 15.71  3.59 15.62  3.05 555 886 1  0.0077   13.1 231.3 1 0
 1074  1075   5.164280  27.212460   5.164280  27.212460 -0.0702 -0.1799 -0.0702 -0.1799 15.80  3.79 15.80  3.79 555 555 1  0.0000    4.0 300.0 2 0
 1079  1080   5.173810  -8.726560   5.173810  -8.726560  0.2566  0.0378  0.2566  0.0378 16.34  4.10 16.34  4.10 555 555 1  0.0000    2.0  50.0 2 0
 1135  1137   5.529980 -24.629260   5.532820 -24.633680  0.1763 -0.0582  0.1744 -0.0606 17.22  3.95 12.18  1.82 555 555 1  0.0031   18.4 149.7 2 0
 1157  1158   5.663290  35.636790   5.662580  35.634290  0.2461 -0.0953  0.2404 -0.1036 14.97  2.85 18.23  3.74 555 555 4  0.0101   11.0 193.0 2 0
 1164  1165   5.641270 -31.173430   5.658860 -31.173430  0.2781 -0.0540  0.2764 -0.0578 13.73  3.07 13.45  2.81 555 555 1  0.0042   54.2  90.0 2 0
 1213  1214   5.885360  -3.707530   5.884170  -3.708010  0.2056  0.1246  0.1173  0.0892 13.41  1.89 13.41  1.66 555 555 4  0.0951    4.5 255.0 2 0
 1262  1265   6.105100 -12.290150   6.109260 -12.288820  0.2863  0.0238  0.2888  0.0226 12.50  3.69 15.23  4.49 555 555 1  0.0028   15.4  71.9 2 0
 1329  1330   6.356220  26.063660   6.368640  26.067340 -0.1194 -0.2009 -0.1173 -0.2021 13.60  3.52 17.86  4.70 555 555 1  0.0024   42.3  71.7 2 0
 1359  1360   6.489710  -5.694040   6.488300  -5.696810  0.2463 -0.1826  0.2336 -0.1991 16.01  3.61 13.04  2.81 555 555 1  0.0208   11.2 206.9 2 0
 1370  1374   6.501260 -10.616770   6.509530 -10.631060  0.0752 -0.2110  0.0721 -0.2057 13.74  3.03 16.29  0.25 555 555 3  0.0061   59.2 150.4 2 0
 1390  1393   6.634500  39.144920   6.637970  39.151200  0.1372 -0.1279  0.1421 -0.1292 15.03  3.93 15.77  1.96 555 555 5  0.0051   24.6  23.2 2 0
 1412  1416   6.693020 -32.332510   6.708680 -32.337940  0.4352 -0.2530  0.4341 -0.2503 14.58  2.32 11.81  1.79 555 555 2  0.0029   51.5 112.3 2 0
 1425  1426   6.765830  -6.458180   6.769900  -6.454580 -0.0280 -0.1860 -0.0360 -0.1840 19.19  5.24 16.86  4.67 586 885 1  0.0082   19.5  48.3 2 0
 1491  1492   7.033020 -26.874560   7.042130 -26.857590 -0.0946 -0.1515 -0.0940 -0.1530 13.82  3.18 15.41  3.61 555 555 1  0.0016   67.7  25.6 2 0
 1529  1530   7.247690  -9.579280   7.251380  -9.592010  0.3407 -0.6026  0.3399 -0.5994 14.34  3.36 15.04  3.34 555 555 1  0.0033   47.7 164.0 2 0
 1573  1574   7.457230  36.503210   7.457230  36.503210  0.1572 -0.1204  0.1572 -0.1204 12.57  3.05 12.57  3.05 555 555 1  0.0000    3.0 182.0 2 0
 1580  1581   7.421780 -28.721920   7.423290 -28.736850  0.2376 -0.0171  0.2387 -0.0151 17.32  3.50 14.53  2.58 555 555 1  0.0023   54.0 174.9 2 0
 1595  1598   7.495660 -16.951380   7.500830 -16.958590  0.2817 -0.0414  0.2815 -0.0389 14.00  3.57 14.70  3.86 555 555 1  0.0025   31.5 145.6 2 0
 1607  1610   7.528590  -9.773710   7.530120  -9.771920  0.2411 -0.0487  0.2414 -0.0453 18.00  4.28 16.40  3.93 555 555 1  0.0034   16.0  40.0 2 0
 1645  1647   7.704990  -3.862730   7.710330  -3.864500  0.3032 -0.2737  0.3004 -0.2784 14.23  2.04 16.56  2.40 555 555 2  0.0055   20.2 108.4 2 0
 1668  1669   7.800210 -30.680970   7.800440 -30.682930  0.1968 -0.0487  0.2038 -0.0808 15.74  3.30 15.23  3.12 555 555 1  0.0329    7.0 175.0 2 0
 1711  1713   7.963133 -27.828375   7.974160 -27.826870  0.1869  0.0090  0.1795  0.0056  9.60  1.48 15.42  3.60 121 555 1  0.0081   35.5  81.2 2 0
 1715  1727   7.983350 -10.716830   8.037310 -10.831060 -0.0341 -0.3896 -0.0347 -0.3828 17.57  2.50 16.07  2.46 555 555 2  0.0068  453.4 155.1 2 0
 1759  1762   8.255888  44.730086   8.261640  44.736970  0.2223 -0.0437  0.2072 -0.0527 10.27  1.45 16.33 -0.33 121 555 3  0.0176   28.8  30.7 2 0
 1779  1801   8.327990  29.955740   8.428440  30.024850  0.2012 -0.0348  0.2052 -0.0225 13.26  2.71 17.86  4.16 555 555 1  0.0129  400.1  51.5 3 0
 1823  1825   8.517780  -1.332890   8.525290  -1.279230  0.3763  0.1495  0.3780  0.1487 16.01  4.65 15.21  4.65 555 555 1  0.0019  195.1   8.0 2 0
 1920  1921   8.972150  52.686720   8.973630  52.693540  0.7726 -0.1824  0.7696 -0.1840 12.13  3.18 14.60  3.95 555 555 1  0.0034   24.8   7.5 2 0
 1976  1977   9.111186  -6.637035   9.111186  -6.637035  0.2117 -0.0447  0.2117 -0.0447 11.53  1.88 15.02  3.00 222 276 1  0.0000    6.0 194.0 1 0
 2053  2057   9.621643  42.999929   9.638280  42.991600  0.1922 -0.0834  0.1822 -0.0787  9.96  1.57 14.27  3.79 121 555 1  0.0110   53.1 124.4 2 0
 2062  2075   9.584130 -21.374420   9.632475 -21.284359  0.2005 -0.0728  0.1250 -0.0593 15.91  3.12  9.69  1.29 555 121 6  0.0767  362.5  26.6 2 0
 2123  2127   9.865270  -8.143970   9.868950  -8.136680  0.2287 -0.0425  0.2198 -0.0515 16.96  3.97 13.01  2.52 555 555 1  0.0127   29.3  26.6 2 0
 2125  2126   9.890810  14.909690   9.889780  14.905270  0.3302  0.0295  0.3344  0.0334 14.33  4.48 14.00  4.02 555 555 1  0.0057   16.3 192.7 2 0
 2144  2145   9.907170 -22.875280   9.907170 -22.875280  0.1505 -0.0150  0.1505 -0.0150 13.24  1.61 13.24  1.61 555 555 2  0.0000    4.0 159.0 2 0
 2205  2206  10.152990  -7.499190  10.152990  -7.499190  0.2855  0.0169  0.2855  0.0169 12.94  1.24 14.35 -9.00 555 576 2  0.0000    3.0 302.0 1 0
 2324  2325  10.667670 -11.538010  10.667670 -11.538010 -0.1693 -0.2180 -0.1693 -0.2180 15.00  2.15 15.00  2.15 555 555 2  0.0000    2.5 252.0 2 0
 2381  2383  10.886720 -23.877150  10.889932 -23.881722 -0.0693 -0.1104 -0.0903 -0.1365 14.05  2.90 12.47  2.65 555 222 1  0.0335   19.6 147.3 2 0
 2425  2426  11.149470  43.665280  11.150550  43.664260  0.1642 -0.0639  0.1642 -0.0639 18.53  2.92 15.99  2.28 576 555 2  0.0000    4.0 147.0 2 0
 2437  2439  11.145830 -18.951600  11.154794 -18.946728  0.2789  0.1851  0.2720  0.1807 15.90  4.57 10.74  2.71 555 121 1  0.0082   35.2  60.1 2 0
 2446  2447  11.201810  -0.109260  11.204930  -0.111560  0.3060 -0.0286  0.3101 -0.0274 17.70  3.09 12.97  2.17 555 555 4  0.0043   14.0 126.4 2 0
 2538  2540  11.528980  -5.640280  11.532284  -5.642577  0.2370  0.0662  0.2370  0.0662 17.45  4.18  9.18  1.22 576 121 1  0.0142   14.4 125.0 2 0
 2582  2586  11.668886  -4.427045  11.680760  -4.412720  0.0260 -0.2633  0.0209 -0.2614  7.57  1.48 15.90  4.70 121 555 1  0.0054   66.9  39.6 2 0
 2704  2705  12.164120 -23.963060  12.162800 -23.964400  0.2198  0.1463  0.1236  0.0394 11.81  1.96 11.81  1.13 555 555 1  0.1438    6.5 218.0 2 0
 2739  2740  12.393330  12.679120  12.393330  12.679120 -0.1662 -0.0094 -0.1662 -0.0094 18.02  3.96 18.02  3.96 555 555 1  0.0000    3.0 104.0 2 0
 2804  2805  12.638070  24.817136  12.638511  24.816720  0.1985 -0.0417  0.1985 -0.0417 13.59  5.67 12.48  4.56 333 333 1  0.0000    1.0 135.0 2 0
